station,date,prcp,tobs
USC00519397,1/12/2010,0.04,76
USC00519397,3/12/2010,0,74
USC00519397,4/12/2010,0,74
USC00519397,6/12/2010,0,64
USC00519397,7/12/2010,0,64
USC00519397,8/12/2010,0,67
USC00519397,9/12/2010,0,77
USC00519397,10/12/2010,1.58,66
USC00519397,11/12/2010,0.77,69
USC00519397,12/12/2010,0,68
USC00519397,13/12/2010,0,68
USC00519397,14/12/2010,0,71
USC00519397,15/12/2010,0,74
USC00519397,16/12/2010,0,67
USC00519397,17/12/2010,0,66
USC00519397,18/12/2010,0,69
USC00519397,19/12/2010,1.4,71
USC00519397,23/12/2010,0,70
USC00519397,24/12/2010,0,70
USC00519397,26/12/2010,,74
USC00519397,27/12/2010,0.13,74
USC00519397,28/12/2010,0.55,71
USC00519397,29/12/2010,0.06,75
USC00519397,30/12/2010,0.01,75
USC00519397,31/12/2010,0,72
USC00519397,1/12/2011,0.03,69
USC00519397,2/12/2011,0.08,68
USC00519397,3/12/2011,0,73
USC00519397,4/12/2011,0,74
USC00519397,5/12/2011,0,73
USC00519397,6/12/2011,0,73
USC00519397,7/12/2011,0,73
USC00519397,8/12/2011,0,73
USC00519397,9/12/2011,0.13,71
USC00519397,10/12/2011,0.07,73
USC00519397,11/12/2011,0.07,73
USC00519397,12/12/2011,0.08,77
USC00519397,13/12/2011,0.4,72
USC00519397,14/12/2011,0.7,71
USC00519397,15/12/2011,0,73
USC00519397,16/12/2011,0.01,70
USC00519397,17/12/2011,0.07,73
USC00519397,18/12/2011,0.02,69
USC00519397,19/12/2011,0.15,74
USC00519397,20/12/2011,0.02,72
USC00519397,21/12/2011,0.18,71
USC00519397,22/12/2011,0.03,72
USC00519397,23/12/2011,0.04,72
USC00519397,24/12/2011,0.1,70
USC00519397,25/12/2011,0.03,73
USC00519397,26/12/2011,0,73
USC00519397,27/12/2011,0,72
USC00519397,28/12/2011,0,73
USC00519397,29/12/2011,0,73
USC00519397,30/12/2011,0,72
USC00519397,31/12/2011,0.01,63
USC00519397,1/12/2012,0,65
USC00519397,2/12/2012,0,71
USC00519397,3/12/2012,0,76
USC00519397,4/12/2012,0.2,70
