station,date,prcp,tobs
USC00519397,1/06/2010,0,78
USC00519397,2/06/2010,0.01,76
USC00519397,3/06/2010,0,78
USC00519397,4/06/2010,0,76
USC00519397,5/06/2010,0,77
USC00519397,6/06/2010,0,78
USC00519397,7/06/2010,0,77
USC00519397,8/06/2010,0,78
USC00519397,9/06/2010,0,78
USC00519397,10/06/2010,0,79
USC00519397,11/06/2010,0,78
USC00519397,12/06/2010,0,78
USC00519397,13/06/2010,0,78
USC00519397,14/06/2010,0,77
USC00519397,15/06/2010,0,78
USC00519397,16/06/2010,0,78
USC00519397,17/06/2010,0,77
USC00519397,18/06/2010,0,77
USC00519397,19/06/2010,0,82
USC00519397,20/06/2010,0,78
USC00519397,21/06/2010,0,78
USC00519397,22/06/2010,0,78
USC00519397,23/06/2010,0,78
USC00519397,24/06/2010,0,78
USC00519397,25/06/2010,0,77
USC00519397,26/06/2010,0.02,76
USC00519397,27/06/2010,0,78
USC00519397,28/06/2010,0,78
USC00519397,29/06/2010,0,78
USC00519397,30/06/2010,0,78
USC00519397,1/06/2011,0.07,77
USC00519397,2/06/2011,0,78
USC00519397,3/06/2011,0.56,73
USC00519397,4/06/2011,0.89,70
USC00519397,5/06/2011,0,76
USC00519397,6/06/2011,0,77
USC00519397,7/06/2011,0,77
USC00519397,8/06/2011,0.03,77
USC00519397,9/06/2011,0.01,77
USC00519397,10/06/2011,0,78
USC00519397,11/06/2011,0,77
USC00519397,12/06/2011,0,77
USC00519397,13/06/2011,0,78
USC00519397,14/06/2011,0,78
USC00519397,15/06/2011,0,77
USC00519397,17/06/2011,0,78
USC00519397,18/06/2011,0,78
USC00519397,19/06/2011,0.05,75
USC00519397,20/06/2011,0.06,76
USC00519397,21/06/2011,0.07,76
USC00519397,24/06/2011,,77
USC00519397,25/06/2011,0,78
USC00519397,26/06/2011,0,76
USC00519397,27/06/2011,0.01,77
USC00519397,28/06/2011,0.01,75
USC00519397,29/06/2011,0,77
USC00519397,1/06/2012,0.02,76
USC00519397,2/06/2012,0.02,76
USC00519397,3/06/2012,0,75
USC00519397,4/06/2012,0,77
USC00519397,5/06/2012,0,77
USC00519397,6/06/2012,0,76
USC00519397,7/06/2012,0,78
USC00519397,8/06/2012,,77
USC00519397,9/06/2012,,76
USC00519397,10/06/2012,0,77
USC00519397,11/06/2012,0,76
USC00519397,12/06/2012,0,76
USC00519397,13/06/2012,0,77
USC00519397,14/06/2012,0,77
USC00519397,15/06/2012,0,78
USC00519397,16/06/2012,0,77
USC00519397,17/06/2012,0,77
USC00519397,18/06/2012,0,77
USC00519397,19/06/2012,0,76
USC00519397,20/06/2012,0,75
USC00519397,21/06/2012,0,76
USC00519397,22/06/2012,0,76
USC00519397,23/06/2012,0,77
USC00519397,24/06/2012,0,76
USC00519397,25/06/2012,0.03,73
USC00519397,26/06/2012,0.15,73
USC00519397,27/06/2012,0.01,75
USC00519397,28/06/2012,0,77
USC00519397,29/06/2012,0.05,76
USC00519397,30/06/2012,0,77
USC00519397,1/06/2013,0.01,79
USC00519397,2/06/2013,0,78
USC00519397,3/06/2013,0,79
